1,Art and Culture,2/16/2012 0:00,2/16/2012 0:00,Mark Grotjahn and Ian Kiaer Viewing and Dinner,,"Aspen, CO"
2,Art and Culture,3/2/2012 0:00,3/2/2012 0:00,Tom Brokaw Dinner and Conversation,,"Key Largo, FL"
3,Private Concerts,3/11/2012 0:00,3/11/2012 0:00,Katy Perry Concert,,"Los Angeles, CA"
4,Art and Culture,4/13/2012 0:00,4/13/2012 0:00,Rashid Johnson at Museum of Contempory Art,,"Chicago, IL"
5,Sports,5/28/2012 0:00,6/3/2012 0:00,Memorial Golf Tournament,,"Columbus, OH"
6,Art and Culture,5/31/2012 0:00,5/31/2012 0:00,Luxury Event,,"Chicago, IL"
7,Art,6/12/2012 0:00,6/17/2012 0:00,Art Basel Switzerland,,"Basel, Switzerland"
8,Art,8/2/2012 0:00,8/2/2012 0:00,Aspen ArtCRUSH Honoree Tom Sachs Luncheon,,"Aspen, CO"
9,Art,8/2/2012 0:00,8/2/2012 0:00,Aspen ArtCRUSH Honoree Tom Sachs,,"Aspen, CO"
10,Art and Culture,8/8/2012 0:00,8/8/2012 0:00,NetJets Grand Opening at Van Nuys Airport,,"Van Nuys, CA"
11,Art and Culture,9/7/2012 0:00,9/7/2012 0:00,Sotheby's Preferred Yayoi Kusama Private Tour,,"New York, NY"
12,Art and Culture,9/10/2012 0:00,9/12/2012 0:00,Sotheby's Preferred Cai Guo-Qiang Private Tour,,"New York, NY"
13,Art,9/19/2012 0:00,9/23/2012 0:00,Chicago Art Expo,,"Chicago, IL"
14,Art and Culture,9/29/2012 0:00,9/29/2012 0:00,Global Festival,,"New York, NY"
15,Private Concerts,10/19/2012 0:00,10/19/2012 0:00,Placido Domingo,,"Seville, Spain"
16,Sports,10/25/2012 0:00,10/29/2012 0:00,Fort Lauderdale Boat Show Invite,,"Fort Lauderdale, FL"
17,Art and Culture,10/25/2012 0:00,10/25/2012 0:00,Worth Avenue Yachts Boat Show,,"Fort Lauderdale, FL"
18,Art and Culture,10/25/2012 0:00,10/25/2012 0:00,Worth Avenue Yachts Boat Show Parking,,"Fort Lauderdale, FL"
19,Private Concerts,10/28/2012 0:00,10/28/2012 0:00,Bombardier and NetJets Global 6000 Debut,,"Las Vegas, NV"
20,Art and Culture,11/7/2012 0:00,11/7/2012 0:00,NetJets Grand Opening at DeKalb Peachtree Airport,,"DeKalb, GA"
21,Art and Culture,11/14/2012 0:00,11/14/2012 0:00,Twilight Breaking Dawn Private Screening,,"Chicago, IL"
22,Art and Culture,11/14/2012 0:00,11/14/2012 0:00,Twilight Breaking Dawn Private Screening,,"Houston, TX"
23,Art and Culture,11/14/2012 0:00,11/14/2012 0:00,Twilight Breaking Dawn Private Screening,,"San Francisco, CA"
