CE-550B,CITATION BRAVO,S,7,3500,370,3.6,11/14/13 16:13,,Citation Bravo,Citation Bravo,1
GL5000S,GLOBAL 5000,L,13,4500,470,10.3,5/5/11 14:39,Global 5000,,Global 5000,22
GL6000S,GLOBAL 6000,L,13,4500,470,10.3,5/3/12 9:22,Global 6000,Global 6000,Global 6000,23
BE-400A,HAWKER 400XP,S,7,4200,450,4,4/16/12 14:07,Hawker 400XP,,Hawker 400XP,2
CE-560E,CITATION ENCORE,S,7,3500,417,3.8,4/16/12 14:07,Citation Encore/+,,Citation Encore,3
CE-560EP,CITATION ENCORE+,S,7,3500,417,3.8,4/16/12 14:07,Citation Encore/+,,Citation Encore+,4
CE-560XL,CITATION EXCEL,S,7,3800,414,3.8,4/16/12 14:07,Citation Excel/XLS,Citation Excel/XLS,Citation Excel,6
CE-560XLS,CITATION XLS,S,7,3800,414,4.23,4/16/12 14:07,Citation Excel/XLS,Citation Excel/XLS,Citation XLS,7
CE-680,CITATION SOVEREIGN,M,8,4000,430,5.8,4/16/12 14:07,Citation Sovereign,,Citation Sovereign,11
CE-750,CITATION X,M,8,4600,520,6,4/16/12 14:07,Citation X,,Citation X,12
DA-2000,FALCON 2000,L,10,4500,459,6.2,4/16/12 14:07,Falcon 2000EX/2000,Falcon 2000/2000EX,Falcon 2000,14
DA-2000LX,FALCON 2000 LX,L,10,4500,459,8.9,4/11/12 20:46,Falcon 2000EX/2000,Falcon 2000/2000EX,Falcon 2000LX,15
DA-2EASY,FALCON 2000EX EASY,L,10,4500,459,7,4/16/12 14:07,Falcon 2000EX/2000,Falcon 2000/2000EX,Falcon 2000EX,16
DA-7X,FALCON 7X,L,14,4500,456,9.30,11/14/13 16:08,,Falcon 7x,Falcon 7x,16
EMB-505S,PHENOM 300,S,7,3500,453,4.35,4/16/12 14:07,Phenom 300,Phenom 300,Phenom 300,5
G-200,GULFSTREAM 200,M,9,4600,470,7.3,4/16/12 14:07,G200,,G200,13
G-400,GULFSTREAM 400,L,10,4500,475,9.5,8/9/10 16:31,G450/G400/GIV-SP,,G400,17
G-450,GULFSTREAM 450,L,14,4500,459,9.5,4/16/12 14:07,G450/G400/GIV-SP,,G450,18
G-550,GULFSTREAM 550,L,14,4500,487,13.5,4/16/12 14:07,G550/GV,G550,G550,20
GIV-SP,GULFSTREAM IV/SP,L,13,4500,459,9.5,4/16/12 14:07,G450/G400/GIV-SP,,GIV-SP,19
GV,GULFSTREAM V,L,14,4500,487,13.5,4/16/12 14:07,G550/GV,,GV,21
HS-125-750,Hawker 750,M,8,4500,434,4.8,11/14/13 16:10,,Hawker 750/800XP,Hawker 750,8
HS-125-800XP,HAWKER 800XP,M,8,4500,434,5.8,4/16/12 14:07,Hawker 900XP/800XP,Hawker 750/800XP,Hawker 800XP,8
HS-125-800XPC,HAWKER 800XPC,M,8,4500,434,5.8,4/16/12 14:07,Hawker 900XP/800XP,Hawker 750/800XP,Hawker 800XPC,9
HS-125-900XP,HAWKER 900XP,M,8,4500,440,5.8,4/16/12 14:07,Hawker 900XP/800XP,,Hawker 900XP,10
CL-350,Challenger 350,M,9,4600,470,7.3,4/16/12 14:07,Challenger 350,,Challenger 350,32
