,Citation Bravo,1,CE-550B,Cessna,Up to 7 passengers,2.9 - 2.9 hours,431 mph/695 kph,4.69 ft/1.43 m,4.89 ft/1.49 m,73.81 cu ft/2.09 cu m,MASTER
Hawker 400XP,,2,BE-400A,Raytheon,Up to 7 passengers,2.8 - 3.5 hours,511 mph/822 kph,4.80 ft/1.46 m,4.90 ft/1.49 m,53.20 cu ft/1.5 cu m,MASTER
Citation Encore/+,,3,CE-560E,Cessna,Up to 7 passengers,3.2 - 4.2 hours,480 mph/772 kph,4.70 ft/1.43 m,4.90 ft/1.49 m,69.00 cu ft/1.95 cu m,MASTER
Phenom 300,Phenom 300,4,EMB-505S,Embraer,Up to 7 passengers,3.5,495 mph/797 kph,4.90 ft/1.49 m,5.10 ft/1.55 m,74.00 cu ft/2.09 cu m,MASTER
Citation Excel/XLS,Citation Excel/XLS,5,CE-560XL,Cessna,Up to 7 passengers,3.2 - 4.2 hours,480 mph/772 kph,5.70 ft/1.74 m,5.6 ft/1.71 m,79.00 cu ft/2.24 cu m,MASTER
Hawker 900XP/800XP,,6,HS-125-800XP,Raytheon,Up to 8 passengers,5.5 - 6.5 hours,505 mph/813 kph,5.75 ft/1.75 m,6.00 ft/1.83 m,40.00 cu ft/1.13 cu m,MASTER
,Hawker 750/800XP,7,HS-125-800XP,Raytheon,Up to 8 passengers,5.5 - 6.5 hours,495 mph/797 kph,5.75 ft/1.75 m,6.00 ft/1.83 m,54.00 cu ft/1.53 cu m,MASTER
Citation Sovereign,,8,CE-680,Cessna,Up to 8 passengers,5.7 - 6.2 hours,495 mph/797 kph,5.70 ft/1.74 m,5.6 ft/1.71 m,100.00 cu ft/2.83 cu m,MASTER
Citation X,,9,CE-750,Cessna,Up to 8 passengers,5.5 - 6.3 hours,590 mph/950 kph,5.70 ft/1.74 m,5.6 ft/1.71 m,72.00 cu ft/2.04 cu m,MASTER
G200,,10,G-200,Gulfstream,Up to 9 passengers,6.5 - 7.7 hours,540 mph/869 kph,6.35 ft/1.91 m,7.20 ft/2.19 m,150.00 cu ft/4.24 cu m,MASTER
Challenger 350,,11,CL-350,Bombardier,Up to 9 passengers,6.5 - 7.7 hours,540 mph/869 kph,6.08 ft/1.85 m, 7.17 ft/2.19 m,106.00 cu ft/3.00 cu m,MASTER
Falcon 2000EX/2000,Falcon 2000/2000EX,12,DA-2000,Dassault,Up to 10 passengers,6.0 - 8.2 hours,528 mph/850 kph,6.20 ft/1.88 m,7.70 ft/2.34 m,181.00 cu ft/5.12 cu m,MASTER
,Falcon 7x,13,DA-7X,Dassault,Up to 14 passengers,11.5 - 11.5 hours,560 mph/901 kph,6.17 ft/1.88 m,7.67 ft/2.34 m,139.85 cu ft/3.96 cu m,MASTER
G450/G400/GIV-SP,,14,G-450,Gulfstream,Up to 14 passengers,7.6 - 9.6 hours,528 mph/869 kph,6.20 ft/1.88 m,7.30 ft/2.22 m,169.00 cu ft/4.78 cu m,MASTER
G550/GV,,15,GV,Gulfstream,Up to 14 passengers,12.5 - 15.0 hours,560 mph/901 kph,6.20 ft/1.88 m,7.30 ft/2.22 m,226.00 cu ft/6.40 cu m,MASTER
,G550,16,G-550,Gulfstream,Up to 14 passengers,12.5 - 15.0 hours,560 mph/901 kph,6.20 ft/1.88 m,7.30 ft/2.22 m,226.00 cu ft/6.40 cu m,MASTER
Global 5000,,17,GL5000S,Bombardier,Up to 13 passengers,11.5 hours,560 mph/901 kph,6.35 ft/1.91 m,8.20 ft/2.5 m,195.00 cu ft/5.52 cu m,MASTER
Global 6000,Global 6000,18,GL6000S,Bombardier,Up to 13 passengers,11.5 hours,560 mph/901 kph,6.35 ft/1.91 m,8.20 ft/2.5 m,195.00 cu ft/5.52 cu m,MASTER
