1,Bombardier,Manufacturer,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src=""Bombardier_Logo.jpg"" width='100' height='50' /></font></p><p align='center'> </p><p align='center'> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 8</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 3</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  Bombardier~ Inc.</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Montreal~ Canada</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Bombardier Aerospace President & COO:</font>  Guy C. Hachey</font></p><p><font face='Arial'> </font></p><p><font face='Arial'>
 Website: www.bombardier.com</font></a></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 World's third largest civil aircraft manufacturer.</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Parent company of Flexjet.</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 29~500 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Production sites located in the United States~ Canada~ the United Kingdom (Northern  Ireland)~ and Mexico.</font></em></p><p><em><font size='2' face='Arial'> </font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Bombardier~ Inc. entered the aerospace industry in 1986 by purchasing Canadair. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",2
2,Cessna,Manufacturer,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src=""Cessna_Logo.jpg"" width='100' height='50' /></font></p><p><font size='+0'> </font></p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 8</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 2</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  Textron</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Wichita~ KS</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 President & CEO:</font>  Scott A. Ernest</font></p><p><font face='Arial'> </font></p><p><font face='Arial'>
 Website: www.cessna.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 World's largest civil aircraft manufacturer.</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Parent company of CitationAir.</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 8~500 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Three production sites in the United States~ along with one component facility in</font></em><em><font size='2' face='Arial'> Mexico.</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1927. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",4
3,Dassault Falcon,Manufacturer,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src=""Falcon_Logo.gif"" width='100' height='50' /> </font></p><p> </p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 3</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 1</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Shareholders:</font>  Dassault Group (50.55%)~ EADS (46.32%)~ Private Investors (3.13%)</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Paris~ France</font></p><p><font face='Arial'><font color='#33334A'>
 Dassault Aviation Chairman & CEO:</font>  Charles Edelstenne</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Dassault Falcon Jet President & CEO:</font>  John Rosanvallon</font></p><p><font face='Arial'> </font></p><p><font face='Arial'>
 Website: www.dassaultfalcon.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 2010 business jet shipments: 95</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 11~551 people worldwide (as of EOY 2010).</em></font></p><p><em><font size='2' face='Arial'>
 Facilities in the United States~ France~ Russia~ United Kingdom~ Italy~ and Brazil</font></em><em><font size='2' face='Arial'>.</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1930. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",6
4,Embraer,Manufacturer,"<p align='left'><font color='#33334A' face='Arial'> <img title='' border='0' alt='' src=""Embraer_Logo.jpg"" width='100' height='50' /> </font></p><p> </p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 4</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 2</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Public & State
run Ownership:</font>  Traded on Brazilian and U.S. stock exchanges;</font></p><p><font color='#000000' face='Arial'>  however~ the Brazilian government retains veto power.</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Sao Jose dos Compos~ Brazil</font></p><p><font face='Arial'><font color='#33334A'>
 CEO:</font>  Frederico Fleury Curado</font></p><p><font face='Arial'> </font></p><p><font face='Arial'>
 Website: www.embraer.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 2010 business jet shipments: 142</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 17~000 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Facilities in Brazil~ the United States~ China~ France~ Portugal~ and Singapore.</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1969. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",8
5,Gulfstream,Manufacturer,"<p align='left'><img title='' border='0' alt='' src=""Gulfstream_Logo.jpg"" width='100' height='50' /></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 5</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 2</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  General Dynamics</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Savannah~ GA</font></p><p><font face='Arial'><font color='#33334A'>
 President:</font>  Larry Flynn</font></p><p><font face='Arial'> </font></p><p><font face='Arial'>
 Website: www.gulfstream.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 2010 business jet shipments: 99</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 11~000 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Facilities in the United States~ United Kingdom~ and Mexico.</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1978. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",10
6,Hawker Beechcraft,Manufacturer,"<p align='left'><img title='' border='0' alt='' src=""Hawker_Beechcraft_Logo.jpg"" width='100' height='50' /></p><p></p><p> </p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 5</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 1</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  Goldman Sachs and Onex Corporation</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Wichita~ KS</font></p><p><font face='Arial'><font color='#33334A'>
 CEO:</font>  Robert S. 'Steve' Miller</font></p><p><font face='Arial'>
 Website: www.hawkerbeechcraft.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 2010 business jet shipments: 62</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 6~000 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Facilities in the United States and United Kingdom</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Originally founded in 1980; became Hawker Beechcraft in 2006. </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",12
7,Piaggio (Avanti),Manufacturer,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src=""Piaggio_aero_Logo.gif"" width='100' height='50' /></font></p><p><font size='+0'> </font></p><p> </p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Business Jet Models Currently In Production:</font> 1</font></p><p><font face='Arial'><font color='#33334A'>
 Business Jet Models In Development:</font> 0</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Major Shareholders:</font>  Mubadala Aerospace (U.A.E.)~Tata Limited (U.K.)~</font></p><p><font color='#000000' face='Arial'>  Ferrari and DiMase families (Italy)</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Genoa~ Italy</font></p><p><font face='Arial'><font color='#33334A'>
 CEO:</font>  Alberto Galassi</font></p><p> </p><p><font face='Arial'>
 Website: www.piaggioaero.com</font></p><p><strong><font face='Arial'> </font></strong></p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 2010 business jet shipments: 11</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 1~400 people worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Production sites in Italy.</font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Originally founded in 1892; Present
day structure began in 1998 </em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",16
8,NetJets,Competitor,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src=""NetJets_Logo.jpg"" width='100' height='50' /></font></p><p> </p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Total Worldwide Fleet Size:</font>  558 aircraft</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Fleet Average Age:</font>  7.2 years</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Aircraft Types Currently Available Worldwide:</font> 15</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  Berkshire Hathaway</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Columbus~ OH</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Chairman & CEO:</font>  Jordan Hansell</font></p><p> </p><p><font face='Arial'>
 Website:  www.netjets.com</font></p><p> </p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Employs over 6~400 aviation professionals worldwide.</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Over 4~000 NetJets Owners worldwide.</em></font></p><p><em><font size='2' face='Arial'>
 Over 3~500 Marquis Jet Card & NetJets Europe Private Jet Card Owners combined. </font></em></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1964 as Executive Jet Airways; NetJets created the concept of fractional aircraft ownership in 1986.</em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",17
9,Flexjet,Competitor,"<p align='left'><font face='Arial'><img title='' border='0' alt='' src=""Flexjet_Logo.jpg"" width='100' height='50' /></font></p><font face='Arial'> </font><p><font face='Arial'> </font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Total Fleet Size:</font>  78 aircraft</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Fleet Average Age:</font>  5.2 years</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Aircraft Types Currently Available:</font>  5</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Parent Company:</font>  Bombardier Aerospace</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Dallas~ TX</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 President:</font>  Fred Reid</font></p><p> </p><p><font face='Arial'>
 Website: www.flexjet.com</font></p><p> </p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 935 employees; 475 internal~ 460 pilots</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 523 fractional shareholders (as of January 31~ 2012)</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1995</em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p><p> </p>",18
10,Flight Options,Competitor,"<p align='left'><font color='#33334A' face='Arial'><img title='' border='0' alt='' src='Flightoptions_Logo.jpg' width='100' height='50' /></font></p><p><font color='#33334A' face='Arial'> </font></p><p> </p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Total Fleet Size:</font>  93 aircraft</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Fleet Average Age:</font>  9.9 years</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Aircraft Types Currently Available:</font>  5</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Primary Investors:</font>  Directional Capital (Kenn Ricci)~ Resilience Capital Partners~</font></p><p><font color='#000000' face='Arial'>  H.I.G. Capital~ and some Flight Options executives. </font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Headquarters:</font>  Cleveland~ OH</font></p><p><font color='#000000' face='Arial'><font color='#33334A'>
 Founder & Chairman:</font>  Kenn Ricci</font></p><p><font face='Arial'><font color='#33334A'>
 CEO:</font>  Michael Silvestro</font></p><p> </p><p><font face='Arial'>
 Website: www.flightoptions.com</font></p><p> </p><p><font color='#000000' size='2' face='Arial'><em><u>
 Company Stats</u></em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 680 employees; 369 internal~ 311 pilots</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 489 fractional shareholders (as of January 31~ 2012)</em></font></p><p><font color='#000000' size='2' face='Arial'><em>
 Founded in 1998</em></font></p><p><font face='Arial'> </font></p><p><font size='1' face='Arial'><em>All data current as of February 2012</em></font></p>",22
