Bombardier,Light Cabin,Learjet 40XR,Citation Encore & Phenom 300,Learjet 40XR,6,1;797 sm w/2 pax @ LRC,529 mph,$10.60M (2011 Model Year),BombardierL40XR.pdf
Bombardier,Midsize Cabin,Learjet 45XR,Citation XLS/Excel,Learjet 45XR,8,2;090 sm w/2 pax @ LRC,507 mph,$13.15M (2011 Model Year),L45XR.pdf
Bombardier,Midsize Cabin,Learjet 60XR,Citation XLS/Excel & Hawker 900XP,Learjet 60XR,7,2;574 sm w/2pax @ LRC,508 mph,$14.10M (2011 Model Year),BombardierL60XR.pdf
Bombardier,Super Midsize Cabin,Learjet 85,Certification anticipated 4Q 2013,Learjet 85,Up to 8,3;300 sm (estimated),540 mph,"$17.5M
$20.0M (estimated)",L85.pdf
Bombardier,Super Midsize Cabin,Challenger 300,Sovereign & Gulfstream G200,Challenger 300,8,3;650 sm w/2pax @ LRC,540 mph,$24.75M (2011 Model Year),BombardierCL300.pdf
Bombardier,Large Cabin,Challenger 605,F2000EX/2000,Challenger 605,12,4;465 sm w/2 pax @ LRC,528 mph,$30.80M (2011 Model Year),BombardierCL605.pdf
Bombardier,Large Cabin,Challenger 850,F2000EX & Gulfstream G450/IV SP,Challenger 850,15,3;312 sm w/2 pax @ LRC,528 mph,$31.20M (2011 Model Year),BombardierCL850.pdf
Bombardier,Large Cabin,Global 5000,,Global 5000,13,6;218 sm w/6 pax @ LRC,560 mph,$49.10M (2011 Model Year),Global 5000.pdf
Bombardier,Large Cabin,Global 6000,,Global 6000,13,7;014 sm w/6pax @ LRC,560 mph,$57.50M (2011 Model Year),Global 6000.pdf
Cessna,Light Cabin,Citation CJ2+,Hawker 400XP,Citation CJ2+,6,1;686 sm w/2 pax @ LRC,458 mph,$7.04M (2012 Model Year),Citation CJ2+.pdf
Cessna,Light Cabin,Citation CJ3,Hawker 400XP & Citation Encore,Citation CJ3,6,1;981 sm w/2 pax @ LRC,457 mph,$8.17M (2012 Model Year),CJ3.pdf
Cessna,Light Cabin,Citation CJ4,Citation Encore & Phenom 300,Citation CJ4,7,2;179 sm w/2 pax @ LRC,489 mph,$8.93M (2012 Model Year),CitationCJ4.pdf
Cessna,Light Cabin,Citation XLS+,XLS/Excel,Citation XLS+,"7 
 8",2;337 sm w/2 pax @ LRC,495 mph,$12.71M (2012 Model Year),XLS+.pdf
Cessna,Midsize Cabin,Citation Latitude,Certification anticipated in 2015,Citation Latitude,7,2;500+ sm @ HSC (est.),509 mph,$15.00M (estimated),Latitude.pdf
Cessna,Midsize Cabin,Citation Sovereign,,Citation Sovereign,8,3;243 sm w/2 pax @ LRC,495 mph,$17.66M (2012 Model Year),Sovereign.pdf
Cessna,Super Midsize Cabin,Citation X,,Citation X,8,3;403 sm w/2 pax @ LRC,590 mph,$21.75M (2012 Model Year),Citation X.pdf
Cessna,Super Midsize Cabin,Citation TEN,Certification anticipated in 2013,Citation TEN,"8 
 12",3;350sm @ HSC (estimated),590 mph,$22.00M (estimated),CitationTEN.pdf
